[27/Feb/2014:16:55:01 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=2&education=0&age=30 | + | 2738 | 243
[27/Feb/2014:16:55:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 779 | 14
[27/Feb/2014:16:55:04 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=2&education=0&age=45 | + | 2625 | 239
[27/Feb/2014:16:55:07 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=2&education=0&age=60 | + | 2724 | 239
[27/Feb/2014:16:55:10 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=2&education=0&age=140 | + | 2599 | 232
[27/Feb/2014:16:55:12 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=2&education=0 | + | 1659 | 242
[27/Feb/2014:16:55:13 +0000] | 81.33.217.32 | /stats/totalvotes |  | + | 697610 | 45
[27/Feb/2014:16:55:14 +0000] | 81.33.217.32 | /static/map_stats.json |  | + | 160083 | 55206
[27/Feb/2014:16:55:15 +0000] | 81.33.217.32 | /static/segment_comparison.json |  | + | 424 | 10149
[27/Feb/2014:16:55:15 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=0&education=0 | + | 3391 | 247
[27/Feb/2014:16:55:15 +0000] | 81.33.217.32 | /stats/public/segment | ?&country=88&gender=0&age_ub=140 | + | 1049516 | 512
[27/Feb/2014:16:55:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_lb=35&age_ub=54 | + | 24379477 | 537
[27/Feb/2014:16:55:29 +0000] | 127.0.0.1 | /stats/public/segment | ?age_lb=55 | + | 4928819 | 528
[27/Feb/2014:16:55:05 +0000] | 127.0.0.1 | /stats/public/segment | ?gender=2 | + | 51314367 | 546
[27/Feb/2014:16:56:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 1188472 | 14
[27/Feb/2014:16:56:02 +0000] | 54.227.246.164 | /stats/partners |  | - | 1106807 | 70211
[27/Feb/2014:16:55:05 +0000] | 127.0.0.1 | /stats/public/segment | ?gender=1 | + | 62528158 | 546
[27/Feb/2014:16:55:34 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=1 | + | 50624579 | 545
[27/Feb/2014:16:56:07 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=3 | + | 21913718 | 533
[27/Feb/2014:16:56:25 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=4 | + | 12957225 | 531
[27/Feb/2014:16:55:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_ub=34 | + | 95516109 | 547
[27/Feb/2014:16:55:56 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=2 | + | 50745844 | 546
[27/Feb/2014:16:55:05 +0000] | 127.0.0.1 | /stats/public/segment | ? | + | 102676167 | 548
[27/Feb/2014:16:56:48 +0000] | 127.0.0.1 | * |  | - | 109 | 0
[27/Feb/2014:16:56:49 +0000] | 127.0.0.1 | * |  | - | 430 | 0
[27/Feb/2014:16:56:51 +0000] | 94.21.20.189 | /stats/public/segment | ?country=75 | + | 687214 | 495
[27/Feb/2014:16:56:52 +0000] | 94.21.20.189 | /stats/public/segment | ?&country=75&gender=2&age_ub=34 | + | 17679 | 491
[27/Feb/2014:16:57:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 883 | 14
[27/Feb/2014:16:56:51 +0000] | 94.21.20.189 | /stats/public/sampleSimilar | ?choices=1,2,3,9,10,15 | + | 16593043 | 3300
[27/Feb/2014:16:57:26 +0000] | 190.81.115.203 | /stats/totalvotes |  | + | 2894 | 45
[27/Feb/2014:16:57:33 +0000] | 190.81.115.203 | /stats/totalvotes |  | + | 1805 | 45
[27/Feb/2014:16:57:40 +0000] | 190.81.115.203 | /static/map_stats.json |  | + | 196636 | 55206
[27/Feb/2014:16:57:40 +0000] | 190.81.115.203 | /static/segment_comparison.json |  | + | 418 | 10149
[27/Feb/2014:16:57:40 +0000] | 190.81.115.203 | /stats/public/segment | ?&country=96&gender=0&age_ub=140 | + | 55642 | 500
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/value_list | ?dim=partner | + | 37780 | 14324
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122 | + | 2644 | 226
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&gender=1 | + | 2041 | 222
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&gender=2 | + | 2509 | 223
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&education=1 | + | 11829 | 170
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&education=3 | + | 3976 | 217
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&education=4 | + | 2331 | 226
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&age=15 | + | 2506 | 204
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&age=30 | + | 2469 | 220
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&age=45 | + | 2453 | 220
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&age=60 | + | 2389 | 220
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&age=61 | + | 2413 | 219
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&hdi=1 | + | 195111 | 364
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&hdi=2 | + | 189784 | 369
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&hdi=3 | + | 125480 | 366
[27/Feb/2014:16:57:51 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&hdi=4 | + | 84466 | 360
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/demographics | ?country=122 | + | 663610 | 263
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&country=122&gender=0&education=0 | + | 846031 | 226
[27/Feb/2014:16:57:50 +0000] | 69.203.4.189 | /stats2/segment | ?country=122&education=2 | + | 869969 | 211
[27/Feb/2014:16:57:59 +0000] | 127.0.0.1 | * |  | - | 161 | 0
[27/Feb/2014:16:58:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 648 | 14
[27/Feb/2014:16:58:01 +0000] | 54.227.246.164 | /stats/partners |  | - | 9712 | 70211
[27/Feb/2014:16:58:18 +0000] | 84.236.111.25 | /stats/totalvotes |  | + | 666771 | 45
[27/Feb/2014:16:58:20 +0000] | 84.236.111.25 | /static/map_stats.json |  | + | 130174 | 55206
[27/Feb/2014:16:58:20 +0000] | 84.236.111.25 | /static/segment_comparison.json |  | + | 386 | 10149
[27/Feb/2014:16:58:21 +0000] | 84.236.111.25 | /stats/public/segment | ?&country=161&gender=0&age_ub=140 | + | 341836 | 511
[27/Feb/2014:16:58:47 +0000] | 84.113.223.70 | /stats2/value_list | ?dim=partner | + | 9338 | 14324
[27/Feb/2014:16:58:48 +0000] | 84.113.223.70 | /stats2/segment | ? | + | 2562 | 252
[27/Feb/2014:16:58:48 +0000] | 84.113.223.70 | /stats2/demographics |  | + | 12685 | 1199
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&gender=1 | + | 2313 | 249
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&country=0&gender=0&education=0 | + | 2534 | 253
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&gender=2 | + | 2904 | 251
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&education=1 | + | 3183 | 246
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&education=3 | + | 2220 | 247
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&education=2 | + | 8221 | 249
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&education=4 | + | 2304 | 252
[27/Feb/2014:16:58:48 +0000] | 84.113.223.70 | /stats2/countries |  | + | 588951 | 32389
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&age=45 | + | 2486 | 248
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&age=30 | + | 5296 | 253
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&age=61 | + | 2242 | 239
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&age=60 | + | 7862 | 248
[27/Feb/2014:16:58:49 +0000] | 84.113.223.70 | /stats2/segment | ?&age=15 | + | 9735 | 249
[27/Feb/2014:16:58:50 +0000] | 84.113.223.70 | /stats2/segment | ?&hdi=1 | + | 113947 | 364
[27/Feb/2014:16:58:50 +0000] | 84.113.223.70 | /stats2/segment | ?&hdi=2 | + | 111766 | 368
[27/Feb/2014:16:58:50 +0000] | 84.113.223.70 | /stats2/segment | ?&hdi=3 | + | 112278 | 366
[27/Feb/2014:16:58:50 +0000] | 84.113.223.70 | /stats2/segment | ?&hdi=4 | + | 111734 | 361
[27/Feb/2014:16:58:57 +0000] | 127.0.0.1 | * |  | - | 168 | 0
[27/Feb/2014:16:58:58 +0000] | 127.0.0.1 | * |  | - | 177 | 0
[27/Feb/2014:16:58:59 +0000] | 94.59.115.152 | /stats/totalvotes |  | + | 1384 | 45
[27/Feb/2014:16:59:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 724602 | 14
[27/Feb/2014:16:59:03 +0000] | 94.59.115.152 | /static/map_stats.json |  | + | 317269 | 55206
[27/Feb/2014:16:59:04 +0000] | 94.59.115.152 | /static/segment_comparison.json |  | + | 404 | 10149
[27/Feb/2014:16:58:05 +0000] | 127.0.0.1 | /stats/public/map | ? | - | 59971430 | 752
[27/Feb/2014:16:59:05 +0000] | 94.59.115.152 | /stats/public/segment | ?&country=121&gender=0&age_ub=140 | + | 96293 | 507
[27/Feb/2014:16:59:11 +0000] | 82.114.178.236 | /stats/public/segment | ?&country=83&gender=0&age_ub=140 | + | 796152 | 505
[27/Feb/2014:16:59:21 +0000] | 94.59.115.152 | - |  | - | 145 | 0
[27/Feb/2014:16:59:23 +0000] | 127.0.0.1 | * |  | - | 161 | 0
[27/Feb/2014:16:59:30 +0000] | 82.114.178.236 | /stats/public/segment | ?&country=159&gender=0&age_ub=140 | + | 202714 | 512
[27/Feb/2014:17:00:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 658 | 14
[27/Feb/2014:17:00:01 +0000] | 54.227.246.164 | /stats2/segment_comparison |  | - | 371863 | 10149
[27/Feb/2014:17:00:02 +0000] | 54.227.246.164 | /stats2/map_stats |  | - | 641827 | 252629
[27/Feb/2014:17:00:03 +0000] | 54.227.246.164 | /stats/partners |  | - | 15217 | 70211
[27/Feb/2014:17:00:03 +0000] | 54.227.246.164 | /stats/public/recent_votes |  | - | 34678 | 4593
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_lb=35&age_ub=54 | + | 1207 | 537
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ? | + | 2782 | 548
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?gender=1 | + | 3842 | 546
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_ub=34 | + | 16699 | 547
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=1 | + | 5097 | 545
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=2 | + | 5627 | 546
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=3 | + | 11870 | 533
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_lb=55 | + | 12188 | 528
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=4 | + | 8498 | 531
[27/Feb/2014:17:00:05 +0000] | 127.0.0.1 | /stats/public/segment | ?gender=2 | + | 1537218 | 546
[27/Feb/2014:17:00:01 +0000] | 54.227.246.164 | /stats/segment | ?&hdi=4 | - | 14359433 | 531
[27/Feb/2014:17:00:22 +0000] | 83.58.41.203 | /stats/totalvotes |  | + | 1272 | 45
[27/Feb/2014:17:00:35 +0000] | 83.58.41.203 | /static/map_stats.json |  | + | 759847 | 252629
[27/Feb/2014:17:00:36 +0000] | 83.58.41.203 | /static/segment_comparison.json |  | + | 398 | 10149
[27/Feb/2014:17:00:37 +0000] | 83.58.41.203 | /stats/public/segment | ?&country=17&gender=0&age_ub=140 | + | 180934 | 498
[27/Feb/2014:17:00:16 +0000] | 54.227.246.164 | /stats/partner_rankings |  | - | 28683691 | 80742
[27/Feb/2014:17:01:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 579 | 14
[27/Feb/2014:17:00:44 +0000] | 54.227.246.164 | /stats/segment |  | - | 34092409 | 548
[27/Feb/2014:17:01:14 +0000] | 54.227.246.164 | /stats/segment | ?&country=0&gender=0&education=0 | - | 34652840 | 548
[27/Feb/2014:17:01:49 +0000] | 54.227.246.164 | /stats/segment | ?&education=1 | - | 7064048 | 532
[27/Feb/2014:17:02:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 620 | 14
[27/Feb/2014:17:02:01 +0000] | 54.227.246.164 | /stats/partners |  | - | 11980 | 70211
[27/Feb/2014:17:02:05 +0000] | 127.0.0.1 | * |  | - | 374 | 0
[27/Feb/2014:17:02:06 +0000] | 127.0.0.1 | * |  | - | 365 | 0
[27/Feb/2014:17:01:55 +0000] | 54.227.246.164 | /stats/segment | ?&gender=1 | - | 32102343 | 546
[27/Feb/2014:17:02:27 +0000] | 54.227.246.164 | /stats/segment | ?&education=2 | - | 9977208 | 538
[27/Feb/2014:17:02:48 +0000] | 31.31.189.54 | /stats/totalvotes |  | + | 1609 | 45
[27/Feb/2014:17:02:49 +0000] | 31.31.189.54 | /static/map_stats.json |  | + | 2220198 | 252629
[27/Feb/2014:17:02:53 +0000] | 31.31.189.54 | /static/segment_comparison.json |  | + | 401 | 10149
[27/Feb/2014:17:02:54 +0000] | 165.65.122.115 | /stats2/value_list | ?dim=partner | + | 84321 | 14324
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/demographics | ?country=125 | + | 3544 | 280
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125 | + | 2258 | 247
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=0&education=0 | + | 2044 | 247
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&education=2 | + | 2469 | 241
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&gender=1 | + | 23114 | 244
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&gender=2 | + | 12844 | 242
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&age=15 | + | 2478 | 239
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&age=30 | + | 2380 | 245
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&age=45 | + | 2546 | 242
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&age=60 | + | 2477 | 240
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&age=61 | + | 2401 | 238
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&hdi=2 | + | 175813 | 368
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&hdi=3 | + | 181653 | 366
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&hdi=1 | + | 633172 | 363
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&education=1 | + | 1043543 | 238
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&education=4 | + | 1031945 | 243
[27/Feb/2014:17:02:55 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&education=3 | + | 1072684 | 239
[27/Feb/2014:17:02:57 +0000] | 187.10.149.251 | /index.html |  | + | 363 | 86
[27/Feb/2014:17:02:56 +0000] | 31.31.189.54 | /stats/public/segment | ?&country=66&gender=0&age_ub=140 | + | 3595634 | 526
[27/Feb/2014:17:02:37 +0000] | 54.227.246.164 | /stats/segment | ?&gender=2 | - | 24481300 | 546
[27/Feb/2014:17:03:02 +0000] | 54.227.246.164 | /stats/ping |  | - | 2072114 | 14
[27/Feb/2014:17:03:04 +0000] | 127.0.0.1 | * |  | - | 150 | 0
[27/Feb/2014:17:03:05 +0000] | 127.0.0.1 | * |  | - | 152 | 0
[27/Feb/2014:17:03:09 +0000] | 127.0.0.1 | * |  | - | 169 | 0
[27/Feb/2014:17:03:02 +0000] | 54.227.246.164 | /stats/segment | ?&education=3 | - | 15466389 | 537
[27/Feb/2014:17:03:52 +0000] | 5.12.201.151 | /stats/totalvotes |  | + | 1232 | 45
